,Open,High,Low,Close,Adj Close,Volume,Date
0,38.700001,38.900002,38.299999,38.900002,37.664921,13300.0,2017-07-07T00:00:00
1,38.549999,39.900002,38.049999,39.5,38.245876,33000.0,2017-07-10T00:00:00
2,38.799999,39.599998,38.349998,38.400002,37.180801,15400.0,2017-07-11T00:00:00
3,38.849998,39.450001,38.75,39.299999,38.052227,10100.0,2017-07-12T00:00:00
4,39.099998,39.400002,39.099998,39.200001,37.955399,7800.0,2017-07-13T00:00:00
5,39.099998,39.5,38.900002,39.25,38.003803,15700.0,2017-07-14T00:00:00
6,39.0,39.450001,38.900002,39.099998,37.858574,10800.0,2017-07-17T00:00:00
7,38.849998,39.799999,38.849998,39.299999,38.052227,16600.0,2017-07-18T00:00:00
8,39.549999,39.700001,39.25,39.400002,38.149052,7300.0,2017-07-19T00:00:00
9,39.599998,39.599998,39.200001,39.400002,38.149052,4900.0,2017-07-20T00:00:00
10,39.799999,39.799999,38.900002,39.0,37.761749,17300.0,2017-07-21T00:00:00
11,39.0,39.25,38.599998,39.150002,37.906986,15700.0,2017-07-24T00:00:00
12,38.599998,39.450001,38.299999,38.400002,37.180801,35700.0,2017-07-25T00:00:00
13,38.599998,38.700001,38.299999,38.450001,37.229206,20600.0,2017-07-26T00:00:00
14,38.25,38.950001,37.849998,38.0,36.793503,47200.0,2017-07-27T00:00:00
15,38.049999,38.5,37.299999,37.450001,36.260963,15800.0,2017-07-28T00:00:00
16,37.900002,38.0,37.349998,37.549999,36.357784,12400.0,2017-07-31T00:00:00
17,37.549999,38.099998,37.400002,38.0,36.793503,11800.0,2017-08-01T00:00:00
18,38.25,38.25,37.650002,37.75,36.551437,10000.0,2017-08-02T00:00:00
19,37.599998,37.700001,36.950001,37.0,35.825253,9800.0,2017-08-03T00:00:00
20,37.099998,37.375,36.799999,37.049999,35.873665,10700.0,2017-08-04T00:00:00
21,36.849998,37.775002,36.849998,37.150002,35.970482,16500.0,2017-08-07T00:00:00
22,37.150002,37.200001,36.849998,36.950001,35.776833,40700.0,2017-08-08T00:00:00
23,36.799999,36.950001,36.299999,36.650002,35.486359,36100.0,2017-08-09T00:00:00
24,36.349998,36.825001,35.549999,36.099998,34.953823,73500.0,2017-08-10T00:00:00
25,36.5,36.5,35.549999,36.0,34.856998,48200.0,2017-08-11T00:00:00
26,36.25,37.400002,35.950001,37.200001,36.018898,26000.0,2017-08-14T00:00:00
27,37.400002,37.450001,36.950001,37.099998,35.92207,16800.0,2017-08-15T00:00:00
28,37.349998,37.349998,36.0,36.099998,34.953823,16800.0,2017-08-16T00:00:00
29,35.849998,36.0,35.5,35.549999,34.421284,20800.0,2017-08-17T00:00:00
30,35.5,35.75,35.400002,35.5,34.372871,20300.0,2017-08-18T00:00:00
31,35.5,35.650002,35.349998,35.450001,34.324455,11800.0,2017-08-21T00:00:00
32,35.5,35.599998,35.299999,35.5,34.372871,20700.0,2017-08-22T00:00:00
33,35.299999,36.049999,35.299999,35.349998,34.227631,10900.0,2017-08-23T00:00:00
34,35.400002,35.700001,35.25,35.599998,34.469704,27600.0,2017-08-24T00:00:00
